web-scraper-order,web-scraper-start-url,product,product-href,name,price,description,img-src
1628144710-2,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/oppo/oppo-a54-smartphone-4gb-64gb-garansi-resmi-biru?whid=0,OPPO A54 Smartphone 4GB/64GB (Garansi Resmi) - Biru,Rp2.399.000,"DetailSpesifikasiInfo PentingKondisi: BaruBerat: 1.000 GramKategori: Android OSEtalase: WIBKatalog: Oppo A54OPPO A54 4/64GB Colors : Starry Blue, Crystal Black Dimensions/Weight Height : 16.39cm / 163.9mm Width : 7.51cm / 75.1mm Thickness : 0.84cm / 8.4mm Weight : About 186g Basic Parameters Operating System : ColorOS 7.2, based on Android 10 Processor : Mediatek Helio P35 CPU frequency : 1.8GHz*4+1.6GHz*4 GPU Model: Adreno 610 @ 600MHz 16fps Battery : 5000 mAh Charge Speed: 9V 2A，18W Fast Charge RAM : 4GB Storage : 64GB External Memory: Expandable up to 128GB Screen Size : 6.51'' + Smart Screen Touchscreen : Multi-touch, Capacitive Screen Display Refresh Rate: 90Hz Resolution : 1600 x 7200 (20:9) Screen PPI : 269PPI SIM Card: Nano-SIM card / Nano-USIM card USB Jack: TYPE-C USB 2.0 Headset Jack: 3.5mm Camera Front: 16M F2.0 (Punch hole) Main Camera : Triple Camera 13M+2M+2M Zoom Mode (Rear): 6x Image Size: back 4624x2080 Full Video 1080P/720P@30fps；default 1080P@30fps EIS Supported 5G Network: Not Supported OTG : Supported NFC : Not Supported In the Box OPPO A54*1 Phone case*1 Adapter*1 Type-C USB 2.0 Charge Cable*1 Important Info. Booklet with Warranty Card *1 Quick Start Guide *1 Sim Card Ejector*1Lihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/3/b802bd02-a65e-4bf7-ba8c-bc59ce02e765.jpg.webp?ect=4g
1628144819-9,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/distriponsel/xiaomi-redmi-9c-3-32gb-4-64gb-garansi-resmi-xiaomi-redmi-9-c-32-gb-6-3gb-32gb-non-bundle?whid=0,"Xiaomi Redmi 9C 3/32GB - 4/64GB Garansi Resmi Xiaomi Redmi 9 C 32 GB 6 - 3GB 32GB, Non Bundle",Rp1.399.000,"DetailInfo PentingKondisi: BaruBerat: 500 GramKategori: Android OSEtalase: Vivo SmartphonesKatalog: Xiaomi Redmi 6Tersedia juga product merk lain dan melayani COD, silahkan wa untuk lebih detail *087888316441 Mengenai varian: Non Bundle = Tidak dapat bonus yang seperti digambar Bundle Headset = Dapat bonus headset Pioneer Bundle Powerbank = Dapat bonus Realme Powerbank 2i Bundle Hydrogel = Dapat bonus Anti Gores Hydrogel Bundle Lengkap = Dapat semua bonus yang disebutkan diatas Ready Warna: Hitam, Orange, Biru Pilihan Warna Tulis di Catatan Saat Checkout Belanja lebih hemat pakai voucher, cek disini: https://www.tokopedia.com/promo/ Tersedia juga produk Xiaomi: https://www.tokopedia.com/vivolucky/etalase/xiaomi-smartphones Tersedia juga produk Vivo: https://www.tokopedia.com/vivolucky/etalase/vivo-smartphones Tersedia juga produk Oppo: https://www.tokopedia.com/vivolucky/etalase/oppo-smartphones Tersedia juga produk Samsung: https://www.tokopedia.com/vivolucky/etalase/samsung-smartphones Tersedia juga produk Realme: https://www.tokopedia.com/vivolucky/etalase/realme-smartphones Tersedia juga produk Imoo: https://www.tokopedia.com/vivolucky/etalase/imoo-smartwatches NOTE SEBELUM MEMBELI: - Barang yang dijual adalah BNIB ( Brand New In Box ) kita tidak jual barang bekas ataupun refurbish - Untuk product Oppo, Vivo dan Realme segel terlebih dahulu kita buka sebelum di kirim, untuk di ambil & di registrasi kartu garansi. - Spesifikasi lengkap dapat dicek melalui website resmi masing- masing produk. - Kerusakan dan kehilangan saat pengiriman diluar tanggung jawab kami. - Sangat disarankan memakai Asuransi pengiriman untuk menghindari resiko pengiriman. - Barang yang sudah dibeli tidak dapat ditukar atau di kembalikan, kecuali ada cacat barang saat baru dibuka. - Pengembalian barang dengan alasan cacat fisik handphone, charger, dan kabel tidak diterima jika sudah lewat 12 jam dari penerimaan barang. - Membeli berarti setuju.Lihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/4/540a4063-b912-4cdc-aced-546adcd5f0dc.jpg.webp?ect=4g
1628144787-7,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/distriponsel/samsung-galaxy-m02-2-32gb-garansi-resmi-sein-2-gb-32-gb-biru-merah-non-bundle?whid=0,Samsung Galaxy M02 2/32GB Garansi Resmi SEIN 2 GB 32 GB Biru Merah - Non Bundle,Rp1.249.000,"DetailSpesifikasiInfo PentingKondisi: BaruBerat: 500 GramKategori: Android OSEtalase: Samsung SmartphonesKatalog: Samsung Galaxy M02Tersedia juga product merk lain dan melayani COD, silahkan wa untuk lebih detail *087888316441 Mengenai varian: Non Bundle = Tidak dapat bonus yang seperti digambar Bundle Headset = Dapat bonus headset Pioneer Bundle Powerbank = Dapat bonus Realme Powerbank 2i Bundle Hydrogel = Dapat bonus Anti Gores Hydrogel Bundle Lengkap = Dapat semua bonus yang disebutkan diatas HARAP DIBACA SEBELUM MEMBELI WARNA READY: Biru dan Merah CANTUMKAN PILIHAN WARNA PADA CATATAN UNTUK PENJUAL BONUS AKAN DIKIRIMKAN SELAMA STOCK TERSEDIA Belanja lebih hemat pakai voucher, cek disini: https://www.tokopedia.com/promo/ Tersedia juga produk Xiaomi: https://www.tokopedia.com/vivolucky/etalase/xiaomi-smartphones Tersedia juga produk Vivo: https://www.tokopedia.com/vivolucky/etalase/vivo-smartphones Tersedia juga produk Oppo: https://www.tokopedia.com/vivolucky/etalase/oppo-smartphones Tersedia juga produk Samsung: https://www.tokopedia.com/vivolucky/etalase/samsung-smartphones NOTE SEBELUM MEMBELI: - Barang yang dijual adalah BNIB ( Brand New In Box ) kita tidak jual barang bekas ataupun refurbish - Untuk product Oppo, Vivo dan Realme segel terlebih dahulu kita buka sebelum di kirim, untuk di ambil & di registrasi kartu garansi. - Spesifikasi lengkap dapat dicek melalui website resmi masing- masing produk. - Kerusakan dan kehilangan saat pengiriman diluar tanggung jawab kami. - Sangat disarankan memakai Asuransi pengiriman untuk menghindari resiko pengiriman. - Barang yang sudah dibeli tidak dapat ditukar atau di kembalikan, kecuali ada cacat barang saat baru dibuka. - Pengembalian barang dengan alasan cacat fisik handphone, charger, dan kabel tidak diterima jika sudah lewat 12 jam dari penerimaan barang. - Membeli berarti setuju.Lihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/4/8469ff34-7b72-45ec-9ee9-b9bf8f69e670.jpg.webp?ect=4g
1628144725-3,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/samuderasports/samsung-galaxy-a72-8-128-dan-8-256-2021-garansi-resmi-segel-bnib-putih-128gb?whid=0,SAMSUNG GALAXY A72 8/128 DAN 8/256 2021 GARANSI RESMI SEGEL BNIB - Putih 128GB,Rp5.648.000,"DetailInfo PentingKondisi: BaruBerat: 500 GramKategori: Android OSEtalase: HandphoneKatalog: Samsung Galaxy A72Pilih sesuai warna dan varian ya, harga sesuai varian warna 128GB = Ram 8GB Memory 128GB 256GB = Ram 8GB Memory 256GB Free Tempered Glass selama persediaan masih ada!! Link Softcase : https://www.tokopedia.com/samuderasports/softcase-samsung-galaxy-a52-a72-silicon-case-premium-a72 GARANSI RESMI SEIN SAMSUNG INDONESIA 1 Tahun (bisa klaim di Indonesia) Kartu Garansi ada di salah satu halaman buku panduan singkat. KIRIM SETIAP HARI ( SENIN - MINGGU ) READY GOJEK/GRAB SEKARANG !! Sameday sebelum - jam 3 SORE (Gosend) jam 4 SORE (Grab) jangan mepet2 Instan sebelum - jam 5 SORE (Gosend) Jam 6 SORE (Grab) jangan mepet2 JNE/J&T DIKIRIM HARI YANG SAMA UNTUK PESANAN SEBELUM JAM 6 SORE (Senin-Jumat) SEBELUM JAM 2 SORE (SABTU-MINGGU/LIBUR) Spesifikasi : Samsung Galaxy A72 memiliki layar Super AMOLED 6,7 inci, resolusi Full HD+, dan refresh rate 90Hz. Modul kamera belakang menampilkan pengaturan quad-camera dengan satu lampu flash LED. Kamera belakang terdiri dari kamera utama 64MP, kamera telefoto 8MP zoom 2x, kamera ultrawide 12MP, dan kamera makro 2MP. Spesifikasi: Network :GSM / HSPA / LTE Dimensions :165.0 x 77.4 x 8.4 Weight :203g SIM :Dual SIM (Nano-SIM, dual stand-by) Display :6.7"""" FHD + sAMOLED 90Hz 800 nits +eye shield comfort Infinity-O Display Chipset :Snapdragon 720G Camera Front :32 MP Camera Rear :64 (OIS) + 12 UW + 8 Tele 3X + 5MP Battery :5000 mAh Fingerprint :On Screen Fingerprint In Box Item Travel Adapter (25W Fast Charging) Data Cable (C type) Ejection Pin Quick start guideLihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/3/23/bbd3d0dc-54c5-4a45-8c08-51ccad776ed6.png.webp?ect=4g
1628144852-11,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/supergadgettt/samsung-galaxy-a52-8-128-8-256-gb-kamera-4k-ram-8-rom-128-256-resmi-awesome-black-a52-8-128-gb?whid=0,"Samsung Galaxy A52 8/128 8/256 GB Kamera 4K RAM 8 ROM 128 256 Resmi - Awesome Black, A52 8/128 GB",Rp4.999.000,"DetailSpesifikasiInfo PentingKondisi: BaruBerat: 300 GramKategori: Android OSEtalase: SmartphoneKatalog: Samsung Galaxy A52Resolusi Layar 1080 x 2400 pixels Qualcomm SM7225 Snapdragon 720G (8 nm) Android 11 One UI 3.0 8GB / 128GB / 256GB microSDXC Kamera Belakang Resolusi 64 MP, f/2.0, 26mm (wide), 1/2.0″, 0.8µm, PDAF OIS 12 MP, f/2.2, 123˚ 5 MP, f/2.4, 5 MP, f/2.2, Fitur LED flash, panorama, HDR, Video 4K@30fps, 1080p@30/120fps; gyro-EIS Kamera Depan Resolusi 32 MP, f/2.2, 26mm (wide), 1/2.8″, 0.8µm Fitur HDR, Video 4K@30fps, 1080p@30fps Dual-SIM Fitur Fast charging Sensor Fingerprint , accelerometer, gyro, proximity, compass GRATIS Perlindungan Layar Handphone senilai Rp 750.000 selama 6 bulan (untuk 1 kali klaim terhadap layar). Mekanisme Aktivasi Proteksi Layar senilai 750.000 hanya mengirimkan data di chatbox (Maksimal 4 Hari Dari Tanggal Pembelian). Format: 1. Nama Lengkap 2. Email 3. Nomor HP 4. Type dan warna HP 5. Imei HP 6. Nomor Invoice Dapatkan penawaran promo Special Asuransi Proteksi 12 bulan senilai harga HP saat pembelian bersama device. Benefit: - Proteksi : Layar, Baterai, Konektor - Limit Proteksi senilai harga handphone - Selama 12 bulan - Klaim lebih dari 1 kali selama limit tersedia Penawaran terbatas hanya didapat saat pembelian bersama device (bundling: + Proteksi Asuransi 12 bulan) : a. Rp 55.000 --> HP di bawah 6 juta (Special Promo) b. Rp 175.000 --> HP di atas 6 juta (Special Promo) Lebih Detail Mengenai Protego Fix: http://salvusmart.id/productdetails/protegofix Promo Menarik Lainnya: GRATIS Paket Data • Bonus Kuota 15GB/bulan selama 24 bulan ( Total 360GB selama 2 Tahun ) dengan syarat Top Pulsa 50rb/ bln sejak kartu diaktifkan. pulsa tidak terpotong • Kuota dapat digunakan untuk seluruh akses data (Main Quota) • Cara Mendapatkan Bonus Kuota: a. Lakukan isi Ulang pulsa Smartfren minimum 50 ribu paling lambat 3 hari setelah aktivasi kartu b. Download aplikasi MySmartfren di Google PlayStore atau Apps Store c. Buka Aplikasi MySmartfren paling lambat 3 hari setelah isi Ulang Terima Kasih sudah berbelanja di Toko kamiLihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/27/35c50bd0-7c5a-4072-8baf-45ddb930f4de.jpg.webp?ect=4g
1628144741-4,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/sonic-phone101/iphone-12-pro-max-garansi-resmi-ibox-graphite-128-gb?whid=0,"IPhone 12 Pro Max Garansi Resmi Ibox - Graphite, 128 gb",Rp18.949.000,"DetailInfo PentingKondisi: BaruBerat: 600 GramKategori: iOSEtalase: iPhoneGreen Peel New Product Garansi Resmi Apple indonesia - Prodak Garansi 364 Hari ( Tidak Sampai Setahun ) Pada saat Aktifasi Connect Wifi Garansi Resmi Apple Tidak ada Garansi Toko Dengan Mengaktifkan Prodak , Pembeli Wajib Mengikuti Kebijakan Dan Garansi yg tertera Tempered GLASS PREMIUM https://www.tokopedia.com/sonic-phone101/tempered-glass-full-screen-iphone-11-11pro-11promax CASE MAGSAFE Copy: https://www.tokopedia.com/sonic-phone101/clear-case-with-magsafe-iphone-12-pro-max-iphone-12-12pro-premium-copy Tambahkan Apple Adapter:: https://www.tokopedia.com/sonic-phone101/Apple-Power-Adapter-20w-usb-c-original Atau Variasi Lain Dari Adapter 20 watt Anker Adapter 20 Watt USB-C: https://tokopedia.link/dusS4qrLOgb Tambahkan AirPods Pro: https://www.tokopedia.com/sonic-phone101/apple-airpods-pro-garansi-ibox Tambahkan Apple Earpods: https://www.tokopedia.com/sonic-phone101/apple-earpods-with-lightning-connector-original Tambahkan Lamina Tempered Glass: https://www.tokopedia.com/sonic-phone101/lamina-tempered-glass-premium-iphone Tambahkan Anti Gores Hydrogel: https://www.tokopedia.com/sonic-phone101/anti-gores-hydro-gel-rock-space-all-type Lihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2020/12/15/38d71eb1-cf23-43f6-aad5-4e573697c679.jpg.webp?ect=4g
1628144803-8,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/supergadgettt/samsung-galaxy-a32-6-128-8-128-kamera-4k-gb-ram-6-8-rom-128-resmi-sein-awesome-black-a32-6-128?whid=0,"Samsung Galaxy A32 6/128 8/128 Kamera 4K GB RAM 6 8 ROM 128 Resmi SEIN - Awesome Black, A32 6/128",Rp3.599.000,"DetailSpesifikasiInfo PentingKondisi: BaruBerat: 300 GramKategori: Android OSEtalase: SmartphoneKatalog: Samsung Galaxy A32Prosesor Octa-core ( Dual 2.0Ghz + Hexa 2.0Ghz) RAM 4GB/6GB/8GB Memori 64GB/128GB Layar 6.5-inch HD+ TFT Infinity-V Display Kamera Belakang Utama : 64MP, F1.8 Ultra Wide: 8MP, F2.2, FF Macro: 5MP, F2.4, FF Depth: 5MP, F2.4, FF Keamanan Fingerprint : Layar Audio Surround sound dengan Dolby Atmos technology (Dolby Digital, Dolby Digital Plus termasuk) Kamera Depan 20MP, F2.2 Android 11 Baterai 5000mAh 15W Fast Charging Color : Awesome Black, Awesome White, Awesome Blue, Awesome violet, GRATIS Perlindungan Layar Handphone senilai Rp 750.000 selama 6 bulan (untuk 1 kali klaim terhadap layar). Mekanisme Aktivasi Proteksi Layar senilai 750.000 hanya mengirimkan data di chatbox (Maksimal 4 Hari Dari Tanggal Pembelian). Format: 1. Nama Lengkap 2. Email 3. Nomor HP 4. Type dan warna HP 5. Imei HP 6. Nomor Invoice Dapatkan penawaran promo Special Asuransi Proteksi 12 bulan senilai harga HP saat pembelian bersama device. Benefit: - Proteksi : Layar, Baterai, Konektor - Limit Proteksi senilai harga handphone - Selama 12 bulan - Klaim lebih dari 1 kali selama limit tersedia Penawaran terbatas hanya didapat saat pembelian bersama device (bundling: + Proteksi Asuransi 12 bulan) : a. Rp 55.000 --> HP di bawah 6 juta (Special Promo) b. Rp 175.000 --> HP di atas 6 juta (Special Promo) Lebih Detail Mengenai Protego Fix: http://salvusmart.id/productdetails/protegofix Promo Menarik Lainnya: GRATIS Paket Data • Bonus Kuota 15GB/bulan selama 24 bulan ( Total 360GB selama 2 Tahun ) dengan syarat Top Pulsa 50rb/ bln sejak kartu diaktifkan. pulsa tidak terpotong • Kuota dapat digunakan untuk seluruh akses data (Main Quota) • Cara Mendapatkan Bonus Kuota: a. Lakukan isi Ulang pulsa Smartfren minimum 50 ribu paling lambat 3 hari setelah aktivasi kartu b. Download aplikasi MySmartfren di Google PlayStore atau Apps Store c. Buka Aplikasi MySmartfren paling lambat 3 hari setelah isi Ulang Terima Kasih sudah berbelanja di Toko kamiLihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/4/28/c2d18ee8-54d5-4707-9a99-f4f416bbc602.jpg.webp?ect=4g
1628144756-5,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/v5k/samsung-a52-ram-8-256-8-128-garansi-resmi-sein-awesome-black-8-128-gb?whid=0,"Samsung A52 Ram 8/256 & 8/128 Garansi Resmi Sein - Awesome Black, 8/128 GB",Rp4.675.000,"DetailKondisi: BaruBerat: 400 GramKategori: Android OSEtalase: Semua EtalaseDEAR CUSTOMER JANGAN TERTIPU DENGAN BARANG YG TERLALU MIRING ( Belum Tentu Jaminan Barang segel asli (Repack ) DI TOKO KAMI JAMINAN BARANG KUALITAS TERBAIK SEGEL ORIGINAL DAN ASLI (NO REPACK ) 🥳🥳 DENGAN JAMINAN 100% GARANSI 1 TAHUN FULL GARANSI RESMI SAMSUNG SERVIS DI SELURUH INDONESIA Samsung A52 Smartphone ( Ram 8GB / Rom 256B ) & ( Ram 8 Gb / 128 Gb ) Garansi Resmi SEIN 1 Tahun NETWORK Technology GSM / HSPA / LTE BODY Dimensions :159.9 x 75.1 x 8.4 mm (6.30 x 2.96 x 0.33 in) SIM : Dual Sim (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by) DISPLAY Type : Super AMOLED, 90Hz, 800 nits (peak) Size : 6.5 inches, 102.0 cm2 (~84.9% screen-to-body ratio) Resolution : 1080 x 2400 pixels, 20:9 ratio (~405 ppi density) PLATFORM OS : Android 11, One UI 3.1 Chipset : Qualcomm SM7125 Snapdragon 720G (8 nm) CPU : Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver) GPU : Adreno 618 MEMORY Card slot : microSDXC (uses shared SIM slot) Internal : ROM 256GB , 8GB RAM MAIN CAMERA Quad : 64 MP, f/1.8, 26mm (wide), 1/1.7X"", 0.8µm, PDAF, OIS 12 MP, f/2.2, 123˚ (ultrawide), 1.12µm 5 MP, f/2.4, (macro) 5 MP, f/2.4, (depth) Features : LED flash, panorama, HDR Video : 4K@30fps, 1080p@30/120fps; gyro-EIS SELFIE CAMERA Single : 32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm SOUND Loudspeaker : Yes, with stereo speakers 3.5mm jack : Yes COMMS WLAN : Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot Bluetooth : 5.0, A2DP, LE GPS : Yes, with A-GPS, GLONASS, GALILEO, BDS NFC : Yes (market/region dependent) Radio : Unspecified USB : USB Type-C 2.0, USB On-The-Go FEATURES Sensors : Fingerprint (under display, optical), accelerometer, gyro, proximity, compass ANT+ BATTERY Type : Li-Po 4500 mAh, non-removable Charging : - Fast charging 25W, 50% in 30 min (advertised)Lihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2021/8/3/902c97a4-4b94-4f26-a75b-8093bba5f0e3.jpg.webp?ect=4g
1628144772-6,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/sonic-phone101/iphone-12-pro-garansi-resmi-ibox-pasific-blue-128-gb?whid=0,"IPhone 12 Pro Garansi Resmi Ibox - Pasific Blue, 128 gb",Rp16.949.000,"DetailInfo PentingKondisi: BaruBerat: 500 GramKategori: iOSEtalase: iPhoneGreen Peel New Product Garansi Resmi Apple indonesia - Prodak Garansi 364 Hari ( Tidak Sampai Setahun ) Pada saat Aktifasi Connect Wifi yang dipake dan diliat saat Claimb Garansi Adalah Tgl Estimasi Expired Atau Nota Pembelian Mohon Melalukan Pengecekan pada saat pembelian - sebelum Aktifasi Garansi Resmi Apple Tidak ada Garansi Toko Dengan Mengaktifkan Prodak , Pembeli Wajib Mengikuti Kebijakan Dan Garansi yg tertera Tempered GLASS PREMIUM https://www.tokopedia.com/sonic-phone101/tempered-glass-full-screen-iphone-11-11pro-11promax CASE MAGSAFE Copy: https://www.tokopedia.com/sonic-phone101/clear-case-with-magsafe-iphone-12-pro-max-iphone-12-12pro-premium-copy Tambahkan Apple Adapter:: https://www.tokopedia.com/sonic-phone101/Apple-Power-Adapter-20w-usb-c-original Atau Variasi Lain Dari Adapter 20 watt Anker Adapter 20 Watt USB-C: https://tokopedia.link/dusS4qrLOgb Tambahkan AirPods Pro: https://www.tokopedia.com/sonic-phone101/apple-airpods-pro-garansi-ibox Tambahkan Apple Earpods: https://www.tokopedia.com/sonic-phone101/apple-earpods-with-lightning-connector-original Tambahkan Lamina Tempered Glass: https://www.tokopedia.com/sonic-phone101/lamina-tempered-glass-premium-iphone Tambahkan Anti Gores Hydrogel: https://www.tokopedia.com/sonic-phone101/anti-gores-hydro-gel-rock-space-all-typeLihat Selengkapnya",https://images.tokopedia.net/img/cache/100-square/VqbcmM/2020/12/15/5b6d5163-b787-4c1b-a323-8d6057f751ec.jpg.webp?ect=4g
1628144836-10,https://www.tokopedia.com/search?navsource=home&q=handphone&source=universe&st=product,,https://www.tokopedia.com/supergadgettt/samsung-galaxy-a72-8-128-8-256-kamera-4k-gb-ram-8-rom-128-256-resmi-awesome-white-a72-8-128gb?whid=0,"Samsung Galaxy A72 8/128 8/256 Kamera 4K GB RAM 8 ROM 128 256 Resmi - Awesome White, A72 8/128GB",Rp5.999.000,"DetailSpesifikasiInfo PentingKondisi: BaruBerat: 300 GramKategori: Android OSEtalase: SmartphoneKatalog: Samsung Galaxy A72Fitur Corning Gorilla Glass Qualcomm Snapdragon 720G - ( 8 nm ) Processor Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver) Android 11 One UI 3.0 Ram / Memori Internal 6 - 8 GB / 128GB - 256GB Memori Eksternal Kamera Belakang Resolusi 64 MP, f/2.0, 26mm (wide), 1/2.0″, 0.8µm, PDAF OIS 8 MP, f/2.2, 123˚ 12 MP, f/2.4, 2 MP, f/2.2, Fitur LED flash, panorama, HDR, Video 4K@30fps, 1080p@30/120fps; gyro-EIS 32 MP, f/2.2, 26mm, 1/2.8″, 0.8µm Fitur HDR, Video 4K@30fps, 1080p@30fps Kapasitas 5000 mAh Sensor Fingerprint GRATIS Perlindungan Layar Handphone senilai Rp 750.000 selama 6 bulan (untuk 1 kali klaim terhadap layar). Mekanisme Aktivasi Proteksi Layar senilai 750.000 hanya mengirimkan data di chatbox (Maksimal 4 Hari Dari Tanggal Pembelian). Format: 1. Nama Lengkap 2. Email 3. Nomor HP 4. Type dan warna HP 5. Imei HP 6. Nomor Invoice Dapatkan penawaran promo Special Asuransi Proteksi 12 bulan senilai harga HP saat pembelian bersama device. Benefit: - Proteksi : Layar, Baterai, Konektor - Limit Proteksi senilai harga handphone - Selama 12 bulan - Klaim lebih dari 1 kali selama limit tersedia Penawaran terbatas hanya didapat saat pembelian bersama device (bundling: + Proteksi Asuransi 12 bulan) : a. Rp 55.000 --> HP di bawah 6 juta (Special Promo) b. Rp 175.000 --> HP di atas 6 juta (Special Promo) Lebih Detail Mengenai Protego Fix: http://salvusmart.id/productdetails/protegofix Promo Menarik Lainnya: GRATIS Paket Data • Bonus Kuota 15GB/bulan selama 24 bulan ( Total 360GB selama 2 Tahun ) dengan syarat Top Pulsa 50rb/ bln sejak kartu diaktifkan. pulsa tidak terpotong • Kuota dapat digunakan untuk seluruh akses data (Main Quota) • Cara Mendapatkan Bonus Kuota: a. Lakukan isi Ulang pulsa Smartfren minimum 50 ribu paling lambat 3 hari setelah aktivasi kartu b. Download aplikasi MySmartfren di Google PlayStore atau Apps Store c. Buka Aplikasi MySmartfren paling lambat 3 hari setelah isi Ulang Terima Kasih sudah berbelanja di Toko kamiLihat Selengkapnya",
